7zip 25.01-1
acl 2.3.2-1
aom 3.12.1-1
archlinux-keyring 20250807.1-1
attr 2.5.2-1
audit 4.0.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
base 3-2
base-devel 1-2
bash 5.3.3-2
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
blas-openblas 0.3.30-1
boost-libs 1.88.0-3
brotli 1.1.0-3
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.115.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
certbot 4.2.0-1
clang 20.1.8-1
cmake 4.1.0-1
compiler-rt 20.1.8-1
coreutils 9.7-1
cppdap 1.58.0-2
cryptsetup 2.8.1-1
curl 8.15.0-1
cython 3.1.3-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
debugedit 5.2-1
debuginfod 0.193-5
device-mapper 2.03.34-1
diffutils 3.12-2
dos2unix 7.5.2-2
doxygen 1.14.0-1
dvisvgm 3.5-2
e2fsprogs 1.47.3-1
eigen 3.4.0-2
elfutils 0.193-5
expat 2.7.1-1
fakeroot 1.37.1.2-1
ffcall 2.5-1
file 5.46-5
filesystem 2025.05.03-1
findutils 4.10.0-3
flex 2.6.4-5
fmt 11.2.0-1
fontconfig 2:2.17.1-1
freetype2 2.13.3-3
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.2.1+r22+gc4e96a094636-1
gcc-libs 15.2.1+r22+gc4e96a094636-1
gd 2.3.3-8
gdb 16.3-1
gdb-common 16.3-1
gdbm 1.26-1
gdk-pixbuf2 2.42.12-2
gettext 0.26-1
ghc-libs 9.4.8-1
ghostscript 10.05.1-3
giflib 5.2.2-2
git 2.51.0-1
glib2 2.84.4-2
glibc 2.42+r17+gd7274d718e6f-1
gmp 6.3.0-2
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnutls 3.8.10-1
gpgme 2.0.0-1
gpm 1.20.7.r38.ge82d1a6-6
graphite 1:1.3.14-5
grep 3.12-2
groff 1.23.0-7
guile 3.0.10-1
gzip 1.14-2
harfbuzz 11.4.4-1
haskell-aeson 2.1.2.1-130
haskell-aeson-pretty 0.8.10-90
haskell-ansi-terminal 1.0.2-52
haskell-ansi-terminal-types 0.11.5-92
haskell-appar 0.1.8-15
haskell-asn1-encoding 0.9.6-279
haskell-asn1-parse 0.9.5-278
haskell-asn1-types 0.3.4-257
haskell-assoc 1.1.1-39
haskell-async 2.2.5-149
haskell-attoparsec 0.14.4-123
haskell-attoparsec-aeson 2.1.0.0-114
haskell-auto-update 0.1.6-397
haskell-base-compat 0.12.3-1
haskell-base-compat-batteries 0.12.3-44
haskell-base-orphans 0.9.2-18
haskell-base-unicode-symbols 0.2.4.2-15
haskell-base16-bytestring 1.0.2.0-128
haskell-base64-bytestring 1.2.1.0-166
haskell-basement 0.0.16-3
haskell-bifunctors 5.6.2-6
haskell-bitvec 1.1.4.0-16
haskell-blaze-builder 0.4.3-14
haskell-blaze-html 0.9.2.0-49
haskell-blaze-markup 0.8.3.0-59
haskell-boring 0.2.2-1
haskell-bsb-http-chunked 0.0.0.4-443
haskell-byteorder 1.0.4-26
haskell-call-stack 0.4.0-278
haskell-case-insensitive 1.2.1.0-266
haskell-cassava 0.5.4.0-17
haskell-cborg 0.2.10.0-26
haskell-cereal 0.5.8.3-3
haskell-citeproc 0.8.1.1-16
haskell-cmdargs 0.10.22-3
haskell-colour 2.3.6-302
haskell-commonmark 0.2.6-3
haskell-commonmark-extensions 0.2.5.4-1
haskell-commonmark-pandoc 0.2.2.2-4
haskell-comonad 5.0.9-69
haskell-conduit 1.3.6.1-71
haskell-conduit-extra 1.3.8-13
haskell-constraints 0.13.4-116
haskell-contravariant 1.5.5-5
haskell-cookie 0.4.6-4
haskell-crypton 1.0.2-6
haskell-crypton-connection 0.4.2-17
haskell-crypton-x509 1.7.7-11
haskell-crypton-x509-store 1.6.10-21
haskell-crypton-x509-system 1.6.7-81
haskell-crypton-x509-validation 1.6.13-35
haskell-data-default 0.7.1.2-11
haskell-data-default-class 0.1.2.1-1
haskell-data-default-instances-containers 0.1.0.3-2
haskell-data-default-instances-dlist 0.0.1.2-55
haskell-data-default-instances-old-locale 0.0.1.1-2
haskell-data-fix 0.3.4-34
haskell-dec 0.0.6-1
haskell-digest 0.0.2.0-1
haskell-distributive 0.6.2.1-281
haskell-djot 0.1.1.3-50
haskell-dlist 1.0-305
haskell-doclayout 0.4.0.1-82
haskell-doctemplates 0.11.0.1-15
haskell-easy-file 0.2.5-69
haskell-emojis 0.1.4.1-30
haskell-erf 2.0.0.0-26
haskell-fast-logger 3.2.3-13
haskell-file-embed 0.0.16.0-1
haskell-foldable1-classes-compat 0.1.1-12
haskell-generically 0.1.1-36
haskell-glob 0.10.2-138
haskell-gridtables 0.1.0.0-101
haskell-haddock-library 1.11.0-118
haskell-half 0.3.3-15
haskell-hashable 1.4.4.0-131
haskell-hourglass 0.2.12-294
haskell-hslua 2.3.0-137
haskell-hslua-aeson 2.3.1-3
haskell-hslua-classes 2.3.0-130
haskell-hslua-core 2.3.1-122
haskell-hslua-list 1.1.3-60
haskell-hslua-marshalling 2.3.1-82
haskell-hslua-module-doclayout 1.1.1-38
haskell-hslua-module-path 1.1.1-39
haskell-hslua-module-system 1.1.1-45
haskell-hslua-module-text 1.1.0.1-108
haskell-hslua-module-version 1.1.1-81
haskell-hslua-module-zip 1.1.2-14
haskell-hslua-objectorientation 2.3.0-126
haskell-hslua-packaging 2.3.1-91
haskell-hslua-repl 0.1.2-88
haskell-hslua-typing 0.1.1-84
haskell-http-api-data 0.6-2
haskell-http-client 0.7.18-35
haskell-http-client-tls 0.3.6.4-64
haskell-http-date 0.0.11-186
haskell-http-media 0.8.1.1-62
haskell-http-types 0.12.4-82
haskell-http2 4.2.0-2
haskell-hunit 1.6.2.0-320
haskell-indexed-traversable 0.1.4-124
haskell-indexed-traversable-instances 0.1.2-73
haskell-integer-conversion 0.1.1-2
haskell-integer-logarithms 1.0.4-38
haskell-iproute 1.7.15-32
haskell-ipynb 0.2-223
haskell-isocline 1.0.9-3
haskell-jira-wiki-markup 1.5.1-70
haskell-juicypixels 3.3.9-39
haskell-lexer 1.1.2-1
haskell-libyaml 0.1.4-99
haskell-lpeg 1.0.4-75
haskell-lua 2.3.3-47
haskell-memory 0.18.0-56
haskell-mime-types 0.1.2.0-3
haskell-mmorph 1.2.1-1
haskell-monad-control 1.0.3.1-165
haskell-mono-traversable 1.0.21.0-73
haskell-network 3.1.4.0-69
haskell-network-byte-order 0.1.7-3
haskell-network-uri 2.6.4.2-81
haskell-old-locale 1.0.0.7-32
haskell-old-time 1.1.0.4-4
haskell-onetuple 0.4.2-78
haskell-only 0.1-24
haskell-optparse-applicative 0.18.1.0-61
haskell-ordered-containers 0.2.4-48
haskell-os-string 2.0.7-70
haskell-pandoc 3.1.12.2-9
haskell-pandoc-lua-engine 0.2.1.2-219
haskell-pandoc-lua-marshal 0.2.7.1-22
haskell-pandoc-server 0.1.0.5-246
haskell-pandoc-types 1.23.1-104
haskell-pem 0.2.4-334
haskell-pretty-show 1.10-18
haskell-prettyprinter 1.7.1-256
haskell-prettyprinter-ansi-terminal 1.1.3-286
haskell-primitive 0.9.1.0-8
haskell-psqueues 0.2.8.1-36
haskell-quickcheck 2.14.3-197
haskell-random 1.2.1.3-30
haskell-recv 0.1.1-19
haskell-regex-base 0.94.0.3-2
haskell-regex-tdfa 1.3.2.4-30
haskell-resourcet 1.2.6-119
haskell-safe 0.3.21-53
haskell-safe-exceptions 0.1.7.4-84
haskell-scientific 0.3.8.0-2
haskell-semialign 1.3.1-1
haskell-semigroupoids 6.0.1-45
haskell-serialise 0.2.6.1-114
haskell-servant 0.20.2-83
haskell-servant-server 0.20.2-124
haskell-sha 1.6.4.4-21
haskell-simple-sendfile 0.2.32-133
haskell-singleton-bool 0.1.7-27
haskell-skylighting 0.14.1.1-92
haskell-skylighting-core 0.14.1.1-91
haskell-skylighting-format-ansi 0.1-224
haskell-skylighting-format-blaze-html 0.1.1.3-78
haskell-skylighting-format-context 0.1.0.2-188
haskell-skylighting-format-latex 0.1-223
haskell-socks 0.6.1-286
haskell-some 1.0.6-20
haskell-sop-core 0.5.0.2-3
haskell-split 0.2.5-63
haskell-splitmix 0.1.0.5-117
haskell-statevar 1.2.2-4
haskell-streaming-commons 0.2.3.0-32
haskell-strict 0.5-127
haskell-syb 0.7.2.4-82
haskell-tagged 0.8.9-2
haskell-tagsoup 0.14.8-274
haskell-tasty 1.5-9
haskell-temporary 1.3-738
haskell-texmath 0.12.8.7-72
haskell-text-conversions 0.3.1.1-112
haskell-text-icu 0.8.0.5-51
haskell-text-iso8601 0.1.1-2
haskell-text-short 0.1.6-63
haskell-th-abstraction 0.5.0.0-1
haskell-th-compat 0.1.6-31
haskell-th-lift 0.8.5-1
haskell-th-lift-instances 0.1.20-99
haskell-these 1.2.1-67
haskell-time-compat 1.9.6.1-170
haskell-time-manager 0.0.1-94
haskell-tls 2.0.6-6
haskell-toml-parser 2.0.1.2-11
haskell-transformers-base 0.4.6-165
haskell-transformers-compat 0.7.2-3
haskell-type-equality 1.0.1-2
haskell-typed-process 0.2.13.0-34
haskell-typst 0.5.0.2-64
haskell-typst-symbols 0.1.5-2
haskell-unicode-collation 0.1.3.6-66
haskell-unicode-data 0.5.0-27
haskell-unicode-transforms 0.4.0.1-124
haskell-uniplate 1.6.13-283
haskell-unix-compat 0.7.4-15
haskell-unix-time 0.4.17-17
haskell-unliftio 0.2.25.1-37
haskell-unliftio-core 0.2.1.0-3
haskell-unordered-containers 0.2.20-99
haskell-utf8-string 1.0.2-203
haskell-uuid-types 1.0.6-64
haskell-vault 0.3.1.5-245
haskell-vector 0.13.2.0-89
haskell-vector-algorithms 0.9.1.0-61
haskell-vector-stream 0.1.0.1-3
haskell-wai 3.2.4-95
haskell-wai-app-static 3.1.9-150
haskell-wai-cors 0.2.7-431
haskell-wai-extra 3.1.17-59
haskell-wai-logger 2.5.0-81
haskell-warp 3.3.30-181
haskell-witherable 0.4.2-178
haskell-word8 0.1.3-24
haskell-xml 1.3.14-32
haskell-xml-conduit 1.9.1.4-85
haskell-xml-types 0.3.8-10
haskell-yaml 0.11.11.2-143
haskell-zip-archive 0.4.3.2-52
haskell-zlib 0.7.0.0-15
hicolor-icon-theme 0.18-1
hslua-cli 1.4.3-28
htop 3.4.1-1
