7zip 25.01-1
base 3-2
base-devel 1-2
blas-openblas 0.3.30-1
certbot 4.2.0-1
clang 20.1.8-1
cmake 4.1.0-1
cython 3.1.3-1
dos2unix 7.5.2-2
doxygen 1.14.0-1
eigen 3.4.0-2
gcc 15.2.1+r22+gc4e96a094636-1
gdb 16.3-1
git 2.51.0-1
htop 3.4.1-1
inetutils 2.6-1
less 1:679-1
libc++ 20.1.6-2
libc++abi 20.1.6-2
lld 20.1.8-1
lldb 20.1.8-1
llvm 20.1.8-1
ninja 1.12.1-2
nodejs 24.6.0-1
openblas 0.3.30-1
openmpi 5.0.8-2
openssh 10.0p1-4
pandoc-cli 3.1.12.2-12
perf 6.16-1
polly 20.1.6-1
python-pip 25.2-1
strace 6.16-1
texlive-fontsrecommended 2025.2-2
texlive-latex 2025.2-2
texlive-latexrecommended 2025.2-2
texlive-mathscience 2025.2-2
tree 2.2.1-1
ttf-liberation 2.1.5-2
valgrind 3.25.1-3
vim 9.1.1623-1
wget 1.25.0-2
